ID,NAMA,PEMINAT 2023,Description,for_who,Mata Kuliah,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum
11,TEKNIK INDUSTRI,22118,"Jurusan Teknik Industri merupakan salah satu jurusan yang fokus pada pengembangan sistem dan proses untuk meningkatkan efisiensi dan produktivitas dalam berbagai bidang industri. Mahasiswa jurusan ini akan mempelajari tentang perancangan dan analisis sistem produksi, manajemen operasi, ergonomi, manajemen rantai pasok, serta teknologi informasi yang dapat digunakan untuk meningkatkan kinerja industri. Selain itu, mahasiswa juga akan mempelajari tentang pemodelan dan simulasi sistem, perencanaan produksi, manajemen logistik, dan manajemen kualitas untuk memastikan bahwa produk dan layanan yang dihasilkan sesuai dengan standar yang ditetapkan. Dengan demikian, lulusan dari jurusan Teknik Industri diharapkan dapat menjadi profesional yang mampu mengoptimalkan proses produksi dan meningkatkan efisiensi dalam berbagai bidang industri.","Jurusan Teknik Industri adalah jurusan untuk orang yang menyukai menggabungkan ilmu teknik dan manajemen untuk mengoptimalkan proses produksi dan sistem kerja. Mereka yang memilih jurusan ini biasanya memiliki ketertarikan dalam memahami bagaimana sebuah sistem dapat beroperasi secara efisien dan efektif, serta bagaimana mengidentifikasi dan mengatasi masalah yang muncul dalam proses produksi. Mereka juga tertarik untuk mengembangkan solusi inovatif untuk meningkatkan produktivitas dan kualitas produk. Jurusan ini memberikan kesempatan bagi para mahasiswa untuk belajar tentang perencanaan, desain, dan pengelolaan sistem produksi yang kompleks, serta meningkatkan keterampilan dalam analisis data, pengambilan keputusan, dan pemecahan masalah.","1. Teknologi Industri
2. Manajemen Produksi
3. Kualitas Produk
4. Teknik Pengendalian Proses
5. Ergonomi
6. Rekayasa Manufaktur
7. Pemrosesan Material
8. Manajemen Operasi
9. Rancang Bangun Sistem
10. Manajemen Persediaan",0.70,0.20,0.20,0.10,0.10,0.10,0.20,0.50,0.20,0.10,0.40,0.30,0.20,0.20,0.20,0.20,0.20
12,TEKNIK MESIN,20157,"TEKNIK MESIN adalah sebuah jurusan kuliah yang mempelajari tentang berbagai teknologi dan teknik yang digunakan dalam proses perancangan, produksi, dan pemeliharaan mesin dan sistem mekanik. Mahasiswa jurusan ini akan belajar tentang prinsip-prinsip dasar mekanika, termodinamika, desain mesin, kontrol dan otomasi, material teknik, dan teknik manufaktur. Mereka juga akan mendapatkan pengetahuan dan keterampilan dalam mengoperasikan peralatan teknik, serta pemecahan masalah dalam bidang teknik mesin. Dengan demikian, lulusan jurusan TEKNIK MESIN akan memiliki kompetensi untuk bekerja di berbagai industri manufaktur, otomotif, perminyakan, dan lain sebagainya.","Jurusan Teknik Mesin adalah jurusan yang cocok untuk orang yang menyukai teknologi, perancangan, dan pemeliharaan mesin. Mereka yang memilih jurusan ini biasanya memiliki ketertarikan dalam memahami bagaimana sebuah mesin bekerja, bagaimana cara merancang mesin yang efisien dan handal, serta bagaimana cara melakukan perawatan dan pemeliharaan agar mesin tetap beroperasi dengan baik. Selain itu, orang yang menyukai jurusan ini juga biasanya memiliki minat dalam mengatasi tantangan teknis dan mengembangkan solusi inovatif dalam bidang teknik mesin. Kesimpulannya, jurusan ini cocok untuk orang yang menyukai teknologi, kreativitas, dan tantangan dalam bidang mesin.","1. Teknik Fluida
2. Material Teknik
3. Pembentukan Logam
4. Teknik Pemeliharaan
5. Teknik Las
6. Metode Penelitian Teknik
7. Teknik Kontrol
8. Ergonomi Teknik
9. Dinamika Teknik
10. Manajemen Proyek Teknik",0.50,0.40,0.90,0.10,0.10,0.10,0.10,0.30,0.30,0.00,0.10,0.10,0.20,0.20,0.10,0.10,0.20
13,GIZI,18803,"Ilmu Gizi adalah salah satu jurusan kuliah yang mempelajari tentang ilmu nutrisi dan kesehatan makanan. Mahasiswa yang mengambil jurusan ini akan mempelajari tentang kandungan nutrisi dalam makanan, metabolisme tubuh manusia, serta faktor-faktor yang mempengaruhi pola makan dan kesehatan. Mereka juga akan mempelajari tentang cara mengatur diet dan nutrisi yang tepat untuk memenuhi kebutuhan tubuh manusia agar tetap sehat dan berenergi. Selain itu, mahasiswa Ilmu Gizi juga akan belajar mengenai penelitian gizi dan aplikasinya dalam bidang kesehatan masyarakat. Dengan demikian, mahasiswa Ilmu Gizi diharapkan dapat menjadi ahli gizi yang mampu memberikan edukasi dan konsultasi nutrisi yang tepat bagi masyarakat dalam upaya meningkatkan kesehatan dan kualitas hidup.","Jurusan ini adalah jurusan untuk orang yang menyukai ilmu pengetahuan dan teknologi. Mereka yang tertarik dengan riset dan inovasi, serta memiliki keinginan untuk menciptakan solusi untuk permasalahan yang kompleks yang ada di dunia ini. Mereka yang memilih jurusan ini harus memiliki kemampuan analitis yang baik, kreativitas tinggi, dan kesabaran dalam menghadapi tantangan yang ada. Mereka juga harus siap untuk terus belajar dan mengembangkan diri, karena bidang ini selalu berkembang pesat. Jurusan ini adalah tempat bagi mereka yang ingin terlibat dalam mengubah dunia menjadi tempat yang lebih baik melalui pengetahuan dan teknologi.","1. Gizi dan Kesehatan
2. Mikrobiologi Pangan
3. Metabolisme
4. Kimia Makanan
5. Ilmu Nutrisi
6. Biokimia
7. Statistik Gizi
8. Dietetika
9. Kesehatan Masyarakat
10. Pangan Fungsional",0.30,0.30,0.10,0.10,0.70,0.30,0.10,0.20,0.10,0.10,0.10,0.20,0.80,0.10,0.20,0.10,0.10
14,KEPERAWATAN,16727,"Jurusan keperawatan adalah salah satu program studi yang mempelajari tentang pengelolaan dan pelayanan kesehatan kepada pasien yang membutuhkan perawatan medis. Mahasiswa jurusan keperawatan akan mempelajari tentang anatomi dan fisiologi tubuh manusia, diagnosis penyakit, prosedur medis, manajemen pasien, serta etika dan hukum dalam praktek keperawatan. Mereka juga akan dilatih untuk memberikan perawatan yang komprehensif dan bertanggung jawab kepada pasien, baik di rumah sakit, puskesmas, maupun dalam masyarakat. Jurusan keperawatan merupakan salah satu pilihan yang cocok bagi mereka yang memiliki kepedulian terhadap kesehatan masyarakat dan memiliki kemampuan untuk bekerja secara tim dalam lingkungan yang dinamis.","Jurusan keperawatan adalah pilihan yang tepat bagi individu yang menyukai membantu orang lain dan peduli terhadap kesehatan. Mereka akan belajar tentang pelayanan kesehatan, perawatan pasien, penanganan kritis, dan keterampilan medis yang diperlukan untuk merawat mereka. Selain itu, jurusan ini juga mempersiapkan mahasiswa untuk bekerja di berbagai lingkungan seperti rumah sakit, klinik, pusat kesehatan, dan institusi perawatan jangka panjang. Selain itu, mereka juga akan belajar tentang etika profesi dan aspek sosial dalam dunia kesehatan. Jurusan ini sangat cocok bagi individu yang peduli terhadap kesejahteraan orang lain dan ingin memberikan kontribusi positif dalam bidang kesehatan.","1. Anatomi dan Fisiologi
2. Keperawatan Medikal Bedah
3. Keperawatan Anak
4. Keperawatan Jiwa
5. Keperawatan Maternitas
6. Keperawatan Gerontik
7. Keperawatan Komunitas
8. Etika Keperawatan
9. Kasus Kesehatan Reproduksi
10. Keperawatan Gawat Darurat",0.20,0.30,0.20,0.30,0.40,0.10,0.10,0.10,0.20,0.00,0.30,0.20,0.80,0.10,0.10,0.10,0.10
15,AGRIBISNIS,16590,"Jurusan Agribisnis adalah salah satu jurusan yang membahas tentang manajemen bisnis di bidang pertanian, peternakan, dan perkebunan. Mahasiswa jurusan ini akan mempelajari teknik-teknik manajemen yang dapat diterapkan dalam industri agribisnis serta memahami seluk beluk pasar pertanian dan perkebunan. Mereka juga akan mempelajari tentang inovasi teknologi pertanian, pengembangan produk pertanian, dan strategi pemasaran yang dapat meningkatkan produktivitas dan profitabilitas dalam sektor agribisnis. Jurusan Agribisnis memberikan pemahaman yang mendalam tentang hubungan antara manusia, lingkungan, dan sumber daya alam dalam konteks pertanian modern. Dengan demikian, lulusan jurusan Agribisnis dapat menjadi pengusaha sukses di sektor pertanian serta berperan dalam mengembangkan potensi agraris di Indonesia.","Jurusan Agribisnis adalah pilihan yang tepat bagi orang yang menyukai dunia pertanian, bisnis, dan manajemen. Para mahasiswa yang memilih jurusan ini akan belajar tentang berbagai aspek dalam mengelola usaha pertanian, mulai dari pengembangan lahan, pemilihan bibit, hingga pemasaran hasil panen. Mereka juga akan belajar tentang teknik manajemen bisnis dan keuangan yang dapat diterapkan dalam industri pertanian. Selain itu, jurusan Agribisnis juga menawarkan peluang untuk memahami secara lebih dalam tentang keberlanjutan lingkungan dan pentingnya menjaga ekosistem pertanian. Keseluruhan, jurusan ini cocok untuk orang yang memiliki minat pada pertanian dan ingin mengembangkan bisnis di bidang ini.","1. Agribisnis Perdesaan
2. Pemasaran Agribisnis
3. Manajemen Agribisnis
4. Keuangan Agribisnis
5. Kewirausahaan Agribisnis
6. Sistem Informasi Agribisnis
7. Kesehatan Hewan
8. Nutrisi Ternak
9. Politik Pertanian
10. Agroekoteknologi",0.30,0.50,0.20,0.20,0.30,0.00,0.30,0.80,0.10,0.00,0.20,0.40,0.10,0.20,0.20,0.10,0.10
16,TEKNIK ELEKTRO,16520," jurusan Teknik Elektro adalah salah satu jurusan yang memberikan pemahaman mendalam tentang bidang rekayasa elektronik, listrik, dan komputer. Mahasiswa akan belajar tentang prinsip dasar elektronika, sistem kontrol, komunikasi data, dan masih banyak lagi. Mereka juga akan mempelajari cara mendesain dan mengembangkan sistem elektronik, mulai dari perangkat keras hingga perangkat lunak. Jurusan ini juga memberikan pemahaman tentang penggunaan teknologi terbaru dalam bidang elektronik dan komputasi. Selain itu, mahasiswa Teknik Elektro akan dilatih untuk memiliki keterampilan analisis yang tajam, pemecahan masalah, dan kreativitas dalam menemukan solusi dalam bidang teknologi elektronik. Dengan demikian, lulusan jurusan ini memiliki peluang karir yang luas di bidang industri, telekomunikasi, otomotif, listrik, dan banyak bidang lainnya yang membutuhkan keahlian dalam teknologi elektronik.","Jurusan Teknik Elektro adalah jurusan yang cocok untuk orang yang menyukai bidang teknologi, listrik, elektronika, dan komunikasi. Mereka yang memilih jurusan ini biasanya memiliki minat yang besar terhadap dunia teknologi dan ingin belajar cara kerja sistem listrik, elektronika, kontrol, dan komunikasi. Mereka juga gemar menguji keahlian mereka dalam merancang, mengembangkan, dan memelihara sistem teknologi yang kompleks. Jurusan ini menawarkan kesempatan untuk menggali pengetahuan dan keterampilan dalam bidang teknik elektro, serta berkontribusi pada inovasi teknologi yang akan memajukan dunia modern.","1. Elektronika Dasar
2. Sistem Kendali
3. Instrumentasi
4. Komunikasi Data dan Jaringan Komputer
5. Robotika
6. Elektronika Daya
7. Sistem Tenaga Listrik
8. Teknik Kontrol
9. Komputer Mikro
10. Pemodelan Sistem Elektromekanik",0.70,0.30,0.70,0.10,0.10,0.10,0.50,0.20,0.20,0.10,0.10,0.20,0.10,0.10,0.30,0.10,0.20
17,PENDIDIKAN GURU SEKOLAH DASAR,16193," Pendidikan Guru Sekolah Dasar adalah jurusan kuliah yang mempersiapkan mahasiswa untuk menjadi seorang guru di tingkat sekolah dasar. Selama kuliah, mahasiswa akan mempelajari berbagai mata pelajaran yang berkaitan dengan pendidikan, psikologi perkembangan anak, metode pengajaran, evaluasi pembelajaran, serta etika profesionalisme dalam mengajar.

Mahasiswa juga akan diajarkan bagaimana mengelola kelas, berkomunikasi dengan siswa, orangtua, dan kolega guru, serta bagaimana mengembangkan kurikulum yang sesuai dengan kebutuhan serta perkembangan anak usia sekolah dasar. Selain itu, mahasiswa juga akan dilatih untuk meningkatkan kemampuan kreativitas, kemampuan berpikir kritis, dan kemampuan interpersonal dalam proses pembelajaran.

Setelah lulus dari jurusan ini, lulusan akan siap untuk menjadi seorang guru profesional yang mampu memberikan pendidikan yang berkualitas bagi anak-anak di tingkat sekolah dasar. Mereka akan memiliki pengetahuan dan keterampilan yang dibutuhkan untuk menciptakan lingkungan belajar yang kondusif, memotivasi siswa untuk belajar, serta membantu mereka mencapai potensi terbaik mereka dalam proses pendidikan.","Jurusan Pendidikan Guru Sekolah Dasar adalah jurusan yang cocok untuk orang yang memiliki minat dan bakat dalam mengajar dan mendidik anak-anak usia dini. Orang yang memilih jurusan ini harus memiliki kemampuan komunikasi yang baik, penuh kesabaran, kreatif, serta penuh dedikasi dalam membantu perkembangan anak-anak. Mereka juga harus memiliki minat dalam pengembangan kurikulum pendidikan anak usia dini, psikologi perkembangan anak, serta metode pengajaran yang tepat sesuai dengan tingkat perkembangan anak-anak sekolah dasar. Memilih jurusan ini berarti memilih untuk menjadi garda terdepan dalam mencerdaskan bangsa melalui dunia pendidikan.","1. Pendidikan Bahasa Indonesia
2. Pendidikan Matematika
3. Pendidikan IPA
4. Pendidikan Agama
5. Pendidikan Kewarganegaraan
6. Pendidikan Seni
7. Pendidikan Jasmani
8. Psikologi Pendidikan
9. Kependidikan Guru
10. Metode Pembelajaran",0.20,0.20,0.10,0.40,0.10,0.10,0.20,0.10,0.40,0.30,0.90,0.20,0.10,0.20,0.40,0.40,0.10
18,KESEHATAN MASYARAKAT,16184,"Kesehatan Masyarakat adalah salah satu jurusan kuliah yang mempelajari tentang upaya untuk meningkatkan kesehatan dan kesejahteraan masyarakat secara keseluruhan. Jurusan ini menggabungkan ilmu kesehatan, ilmu sosial, dan ilmu analisis kebijakan untuk memahami faktor-faktor yang memengaruhi kesehatan masyarakat serta merancang dan melaksanakan intervensi yang efektif untuk meningkatkan kondisi kesehatan masyarakat.

Para mahasiswa jurusan Kesehatan Masyarakat akan belajar tentang epidemiologi, bio-statistik, kesehatan lingkungan, promosi kesehatan, manajemen kesehatan publik, dan kebijakan kesehatan. Mereka juga akan belajar cara melakukan penelitian, mengumpulkan dan menganalisis data, serta merancang program-program kesehatan yang berkelanjutan dan berdampak positif bagi masyarakat.

Setelah lulus, lulusan jurusan Kesehatan Masyarakat memiliki berbagai peluang karir di bidang kesehatan publik, non-profit, pemerintahan, rumah sakit, organisasi internasional, dan sektor swasta. Mereka dapat bekerja sebagai epidemiolog, manajer program kesehatan, analis kebijakan kesehatan, peneliti kesehatan masyarakat, dll. Jurusan ini memberikan landasan yang kuat untuk berkontribusi dalam meningkatkan kesehatan dan kesejahteraan masyarakat secara luas.","Jurusan Kesehatan Masyarakat cocok untuk orang yang tertarik dalam mempelajari faktor-faktor yang memengaruhi kesehatan masyarakat secara keseluruhan. Mereka harus memiliki minat dalam bidang kesehatan populasi, epidemiologi, kebijakan kesehatan, promosi kesehatan, dan manajemen program kesehatan. Orang yang cocok untuk jurusan ini adalah mereka yang ingin berkontribusi dalam upaya meningkatkan kesehatan masyarakat dan memahami masalah kesehatan secara holistik. Kesabaran, kepedulian terhadap orang lain, kemampuan analisis dan pemecahan masalah, serta kemampuan bekerja dalam tim juga merupakan karakteristik yang diperlukan untuk mengejar karir dalam bidang Kesehatan Masyarakat.","1. Kesehatan Masyarakat
2. Epidemiologi
3. Statistik Kesehatan
4. Kesehatan Lingkungan
5. Kesehatan Reproduksi
6. Promosi Kesehatan
7. Sosiologi Kesehatan
8. Kebijakan Kesehatan
9. Penyuluhan Kesehatan
10. Gizi Masyarakat",0.30,0.30,0.10,0.60,0.50,0.10,0.10,0.20,0.10,0.10,0.10,0.40,0.80,0.10,0.30,0.10,0.10
19,EKONOMI PEMBANGUNAN,14902,"Ekonomi Pembangunan adalah jurusan kuliah yang mempelajari tentang bagaimana perekonomian suatu negara dapat berkembang dan meningkatkan kesejahteraan masyarakat melalui kebijakan-kebijakan ekonomi yang tepat. Jurusan ini mencakup berbagai topik seperti pembangunan ekonomi, keuangan publik, investasi, perdagangan internasional, serta ekonomi sumber daya alam. Para mahasiswa jurusan ini akan belajar tentang teori ekonomi, analisis data, serta kebijakan-kebijakan yang dapat mempengaruhi pertumbuhan ekonomi suatu negara. Dengan memahami prinsip-prinsip ekonomi pembangunan, lulusan jurusan ini diharapkan dapat menjadi ahli yang mampu mengatasi tantangan pembangunan ekonomi dan memberikan kontribusi positif bagi kemajuan negara.","Jurusan Ekonomi Pembangunan adalah jurusan yang cocok untuk orang yang memiliki minat dalam bidang ekonomi dan pembangunan. Mereka yang menyukai analisis kebijakan ekonomi, perencanaan pembangunan, serta strategi pengentasan kemiskinan akan menikmati belajar di jurusan ini. Selain itu, orang yang memiliki ketertarikan pada hubungan antara ekonomi dan pembangunan sosial, lingkungan, dan teknologi juga akan merasa puas memilih jurusan ini. Dengan mempelajari berbagai teori dan praktik dalam ekonomi pembangunan, mahasiswa dapat memiliki pemahaman yang mendalam tentang bagaimana menciptakan pertumbuhan ekonomi yang berkelanjutan dan inklusif bagi masyarakat.","1. Teori Ekonomi Pembangunan
2. Kebijakan Pembangunan Ekonomi
3. Statistik Ekonomi Pembangunan
4. Kajian Pembangunan Daerah
5. Koperasi dan Pembangunan
6. Teori Pertumbuhan Ekonomi
7. Ekonomi Sumber Daya Alam
8. Ekonomi Internasional
9. Ekonomi Regional
10. Analisis Kebijakan Pembangunan",0.30,0.20,0.10,0.40,0.10,0.00,0.30,0.80,0.10,0.10,0.20,0.30,0.10,0.20,0.20,0.10,0.20
20,ILMU KOMPUTER,14134,"Ilmu Komputer adalah jurusan kuliah yang mempelajari tentang ilmu dan teknologi dalam bidang pengolahan data, informasi, dan komputasi. Jurusan ini mencakup pembelajaran mengenai pengembangan perangkat lunak, sistem informasi, kecerdasan buatan, grafika komputer, jaringan komputer, keamanan informasi, dan lain sebagainya. Mahasiswa Ilmu Komputer akan belajar tentang pemrograman, analisis data, desain sistem, manajemen basis data, dan teknologi terbaru dalam bidang komputasi. Selain itu, jurusan ini juga memberikan pemahaman mendalam tentang bagaimana komputer bekerja dan solusi teknologi informasi untuk memecahkan masalah di berbagai bidang industri. Ilmu Komputer merupakan salah satu jurusan kuliah yang penting dan memiliki peluang kerja yang luas di masa depan.","Jurusan Ilmu Komputer adalah jurusan untuk orang yang menyukai teknologi informasi, pemrograman komputer, analisis data, dan sistem komputer. Mereka tertarik untuk memahami bagaimana komputer bekerja, merancang dan mengembangkan software, dan memecahkan masalah melalui pemrograman. Orang yang memilih jurusan ini harus memiliki ketertarikan dalam matematika, logika, dan pemecahan masalah. Mereka juga harus siap untuk terus belajar dan mengikuti perkembangan teknologi yang cepat. Kesempatan karir bagi lulusan Ilmu Komputer sangat luas, mulai dari menjadi programmer, analis data, hingga pengembang aplikasi. Sehingga bagi orang yang menyukai bidang teknologi dan ingin menciptakan solusi inovatif, jurusan Ilmu Komputer adalah pilihan yang tepat.","1. Algoritma dan Pemrograman
2. Pemrograman Web
3. Basis Data
4. Jaringan Komputer
5. Sistem Operasi
6. Kecerdasan Buatan
7. Rekayasa Perangkat Lunak
8. Kriptografi
9. Grafika Komputer
10. Analisis Big Data",0.80,0.40,0.10,0.10,0.10,0.10,0.90,0.20,0.20,0.10,0.20,0.10,0.10,0.10,0.20,0.10,0.10
21,TEKNIK PERTAMBANGAN,13307," Jurusan Teknik Pertambangan adalah salah satu jurusan yang mempelajari tentang proses ekstraksi mineral dari dalam tanah, pengolahan mineral menjadi produk yang siap digunakan, serta upaya-upaya untuk menjaga lingkungan agar tidak terkontaminasi oleh aktivitas pertambangan. Mahasiswa jurusan ini akan mempelajari tentang teknik-teknik pengeboran, penggalian, pengolahan, dan pengelolaan sumber daya mineral dengan efisien dan berkelanjutan. Mereka juga akan belajar tentang peraturan-peraturan yang mengatur kegiatan pertambangan, serta teknologi-teknologi terkini yang dapat digunakan dalam industri pertambangan. Melalui kombinasi antara teori dan praktik lapangan, mahasiswa jurusan ini diharapkan dapat menjadi tenaga ahli yang mampu memberikan kontribusi positif dalam mengelola sumber daya mineral secara bertanggung jawab dan berkelanjutan.","Jurusan Teknik Pertambangan adalah jurusan untuk orang yang menyukai industri pertambangan, pengeboran, eksplorasi sumber daya alam, dan proses pengolahan bahan tambang. Orang yang memilih jurusan ini harus memiliki minat dalam mengelola dan mengoptimalkan sumber daya tambang secara efisien. Mereka juga harus memiliki pengetahuan tentang teknologi dan rekayasa untuk mengembangkan metode penambangan yang ramah lingkungan. Selain itu, orang yang tertarik dengan jurusan ini juga harus memiliki kemampuan analisis, kritis, dan problem-solving yang baik. Dengan mengikuti jurusan ini, mahasiswa akan mempelajari berbagai teknik dan keterampilan yang diperlukan dalam industri pertambangan.","1. Prinsip-prinsip Teknik Pertambangan
2. Geologi dan Geoteknik
3. Rekayasa Tambang
4. Hidrogeologi
5. Sistem Penambangan
6. Evaluasi Sumber Daya Mineral
7. Rehabilitasi Lahan Tambang
8. Teknik Pengeboran
9. Pemindahan Tanah
10. Teknik Pengolahan Mineral",0.60,0.30,0.80,0.20,0.10,0.30,0.30,0.20,0.20,0.00,0.10,0.20,0.10,0.70,0.10,0.10,0.20
22,ADMINISTRASI PUBLIK,13137,"Jurusan Administrasi Publik adalah program studi yang mempelajari tentang pengelolaan dan pelayanan publik di berbagai level pemerintahan. Mahasiswa jurusan ini akan mempelajari tentang kebijakan publik, manajemen birokrasi, administrasi keuangan publik, hukum administrasi negara, serta etika dalam pelayanan publik. Mereka akan dilatih untuk menjadi profesional yang mampu mengelola berbagai permasalahan dalam pelayanan publik dengan efisien dan transparan. Selain itu, mahasiswa akan mempelajari tentang cara menjalin hubungan yang baik dengan masyarakat, stakeholder, serta lembaga pemerintahan lainnya untuk mencapai keberhasilan dalam penyelenggaraan pelayanan publik. Jurusan Administrasi Publik merupakan pilihan yang tepat bagi mereka yang tertarik untuk berkarir di sektor pelayanan publik, baik di pemerintahan maupun lembaga non-profit.","Jurusan Administrasi Publik adalah jurusan yang cocok bagi mereka yang memiliki minat dalam sistem pemerintahan dan manajemen publik. Para siswa jurusan ini akan mempelajari tentang kebijakan publik, administrasi negara, perencanaan pembangunan, serta analisis kebijakan. Mereka akan mempelajari bagaimana cara mengelola sumber daya negara secara efisien dan transparan, serta menangani berbagai permasalahan dalam pemerintahan. Orang-orang yang memiliki minat dalam pengelolaan publik, pelayanan masyarakat, dan reformasi birokrasi akan merasa tertarik dengan jurusan ini. Selain itu, jurusan ini juga memberikan peluang karir yang luas di sektor pemerintah maupun swasta.","1. Manajemen Keuangan Publik
2. Kebijakan Publik
3. Manajemen Sumber Daya Manusia
4. Etika Administrasi Publik
5. Pemberdayaan Masyarakat
6. E-Government
7. Kependudukan dan Pembangunan
8. Kebijakan Pemerintah
9. Evaluasi Program
10. Penyuluhan Administrasi Publik",0.20,0.20,0.10,0.70,0.10,0.00,0.50,0.30,0.10,0.10,0.20,0.10,0.20,0.20,0.20,0.20,0.20
23,SASTRA INGGRIS,13123,"Sastra Inggris adalah jurusan kuliah yang bertujuan untuk mengembangkan pemahaman terhadap karya sastra dari berbagai karya sastra berbahasa Inggris. Mahasiswa jurusan Sastra Inggris akan belajar tentang sejarah sastra, analisis sastra, dan menganalisis karya-karya sastra dari berbagai periode dan genre dalam bahasa Inggris. Mereka juga akan mempelajari kebudayaan yang terkait dengan sastra Inggris, serta kemampuan berbahasa Inggris yang baik dan keterampilan menulis yang kreatif. Jurusan ini membuka peluang karir di bidang penerjemahan, jurnalistik, pendidikan, penerbitan, dan banyak lagi. Jurusan Sastra Inggris juga membuka kesempatan untuk belajar tentang keberagaman budaya dan perspektif yang berbeda melalui karya sastra dari penulis-penulis berbagai belahan dunia.","Jurusan Sastra Inggris adalah jurusan yang cocok untuk orang yang memiliki minat dan kesukaan terhadap sastra, sastra Inggris khususnya. Di dalam jurusan ini, kita akan belajar tentang karya-karya sastra dari penulis-penulis terkenal, analisis sastra, teori sastra, serta berbagai aspek budaya yang terkait dengan sastra Inggris. Selain itu, kita juga akan mendalami bahasa Inggris secara lebih mendalam, baik dalam bentuk tulisan maupun lisan. Jurusan ini tidak hanya melatih kemampuan berbahasa, tetapi juga kemampuan analisis, interpretasi, dan kritis dalam memahami dan mengeksplorasi berbagai karya sastra. Jika Anda memiliki minat dalam sastra dan bahasa Inggris, jurusan ini akan memberikan pengalaman belajar yang mendalam dan memuaskan.","1. Grammar
2. Vocabulary
3. Reading Comprehension
4. Writing Skills
5. Listening Skills
6. Speaking Skills
7. Literature
8. Phonetics
9. Translation Studies
10. Linguistics",0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.10,0.20,0.90,0.40,0.10,0.20,0.20,0.40,0.30,0.10
24,BISNIS DIGITAL,11464," Bisnis Digital adalah jurusan kuliah yang mempelajari tentang strategi, perencanaan, dan implementasi bisnis dalam lingkungan digital. Mahasiswa jurusan ini akan belajar tentang pemasaran digital, analisis data, e-commerce, dan inovasi teknologi dalam dunia bisnis. Mereka juga akan mempelajari tentang manajemen risiko dan keamanan dalam berbisnis online. Jurusan Bisnis Digital memberikan pemahaman yang mendalam tentang bagaimana teknologi dapat digunakan untuk meningkatkan kinerja bisnis dan memperluas pasar secara global. Kesempatan karir bagi lulusan jurusan ini sangat luas, mulai dari menjadi digital marketer, e-commerce manager, hingga entrepreneurship dalam bidang teknologi.","Jurusan bisnis digital adalah jurusan yang cocok untuk orang yang memiliki minat dan bakat dalam teknologi informasi, pemasaran digital, e-commerce, dan analisis data. Orang yang tertarik dengan perkembangan teknologi dan dunia digital serta ingin memahami cara memanfaatkan internet dan media sosial untuk mengembangkan bisnis, akan merasa senang belajar di jurusan ini. Dengan kemampuan untuk mengelola dan mengoptimalkan platform digital, mahasiswa jurusan bisnis digital akan siap menghadapi tantangan di era modern yang serba digital ini. Mereka juga akan memiliki keunggulan dalam berwirausaha dan meraih kesuksesan di dunia bisnis yang terus berkembang.","1. E-Commerce
2. Digital Marketing
3. Business Intelligence
4. Mobile App Development
5. Social Media Management
6. Web Development
7. Data Analytics
8. Online Advertising
9. Search Engine Optimization
10. Cybersecurity",0.20,0.30,0.10,0.30,0.10,0.10,0.90,0.70,0.10,0.10,0.20,0.10,0.10,0.10,0.50,0.10,0.10
