NAMA,PEMINAT 2023,Description,for_who,Mata Kuliah,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum
SISTEM INFORMASI,22574,"Sistem Informasi adalah jurusan kuliah yang mempelajari tentang penggunaan teknologi informasi dan sistem komputer untuk mengelola, menyimpan, mengakses, dan menganalisis data dalam berbagai organisasi. Jurusan ini juga mempelajari tentang perancangan, pengembangan, implementasi, dan pemeliharaan sistem informasi yang efisien dan efektif. Selain itu, mahasiswa juga akan mempelajari tentang infrastruktur teknologi informasi, keamanan informasi, analisis bisnis, manajemen proyek, dan strategi teknologi informasi. Dengan mengikuti jurusan Sistem Informasi, mahasiswa akan memiliki pengetahuan dan keterampilan yang diperlukan untuk bekerja di berbagai bidang seperti analis sistem, administrator basis data, manajer proyek IT, dan spesialis keamanan informasi.","Jurusan Sistem Informasi adalah jurusan yang cocok untuk orang yang tertarik dan menyukai teknologi informasi. Para mahasiswa akan belajar mengenai pengembangan perangkat lunak, manajemen sistem informasi, analisis data, keamanan sistem, dan teknologi terkini dalam dunia digital. Mereka akan diajarkan bagaimana mengelola informasi secara efektif dan efisien untuk mendukung berbagai kebutuhan organisasi maupun perusahaan. Dengan perkembangan teknologi yang pesat, jurusan ini memberikan peluang karir yang besar di berbagai bidang seperti IT consultant, web developer, data analyst, system administrator, dan banyak lagi. Selain itu, jurusan ini juga mempersiapkan mahasiswa untuk menjadi pemimpin di era digital yang semakin berkembang.","1. Bahasa Pemrograman
2. Basis Data
3. Sistem Operasi
4. Jaringan Komputer
5. Rekayasa Perangkat Lunak
6. Kecerdasan Buatan
7. Analisis Data
8. Manajemen Proyek TI
9. E-Commerce
10. Keamanan Informasi",0.50,0.30,0.20,0.10,0.10,0.10,0.90,0.50,0.20,0.10,0.20,0.10,0.10,0.10,0.30,0.10,0.30
TEKNIK INDUSTRI,22118,"Jurusan Teknik Industri merupakan salah satu jurusan yang fokus pada pengembangan sistem dan proses untuk meningkatkan efisiensi dan produktivitas dalam berbagai bidang industri. Mahasiswa jurusan ini akan mempelajari tentang perancangan dan analisis sistem produksi, manajemen operasi, ergonomi, manajemen rantai pasok, serta teknologi informasi yang dapat digunakan untuk meningkatkan kinerja industri. Selain itu, mahasiswa juga akan mempelajari tentang pemodelan dan simulasi sistem, perencanaan produksi, manajemen logistik, dan manajemen kualitas untuk memastikan bahwa produk dan layanan yang dihasilkan sesuai dengan standar yang ditetapkan. Dengan demikian, lulusan dari jurusan Teknik Industri diharapkan dapat menjadi profesional yang mampu mengoptimalkan proses produksi dan meningkatkan efisiensi dalam berbagai bidang industri.","Jurusan Teknik Industri adalah jurusan untuk orang yang menyukai menggabungkan ilmu teknik dan manajemen untuk mengoptimalkan proses produksi dan sistem kerja. Mereka yang memilih jurusan ini biasanya memiliki ketertarikan dalam memahami bagaimana sebuah sistem dapat beroperasi secara efisien dan efektif, serta bagaimana mengidentifikasi dan mengatasi masalah yang muncul dalam proses produksi. Mereka juga tertarik untuk mengembangkan solusi inovatif untuk meningkatkan produktivitas dan kualitas produk. Jurusan ini memberikan kesempatan bagi para mahasiswa untuk belajar tentang perencanaan, desain, dan pengelolaan sistem produksi yang kompleks, serta meningkatkan keterampilan dalam analisis data, pengambilan keputusan, dan pemecahan masalah.","1. Teknologi Industri
2. Manajemen Produksi
3. Kualitas Produk
4. Teknik Pengendalian Proses
5. Ergonomi
6. Rekayasa Manufaktur
7. Pemrosesan Material
8. Manajemen Operasi
9. Rancang Bangun Sistem
10. Manajemen Persediaan",0.70,0.20,0.20,0.10,0.10,0.10,0.20,0.50,0.20,0.10,0.40,0.30,0.20,0.20,0.20,0.20,0.20
HUKUM,21640,"HUKUM adalah salah satu jurusan kuliah yang mempelajari tentang hukum dan sistem peradilan. Jurusan ini mengajarkan mahasiswa tentang berbagai aspek hukum, termasuk hukum pidana, hukum sipil, hukum internasional, hukum korporasi, dan banyak lagi. Mahasiswa jurusan hukum akan belajar tentang proses peradilan, pembuatan undang-undang, kontrak, penyelesaian sengketa, dan perlindungan hak asasi manusia. Mereka juga akan belajar tentang etika dan moralitas dalam praktik hukum, serta cara menerapkan keadilan dan kebenaran dalam kasus-kasus hukum. Jurusan hukum mempersiapkan mahasiswa untuk bekerja sebagai advokat, hakim, jaksa, penasihat hukum, atau dalam berbagai profesi hukum lainnya.","HUKUMJurusan ini adalah jurusan untuk orang yang menyukai penegakan keadilan, menyelesaikan konflik, dan memahami hukum dalam berbagai aspek kehidupan. Mereka yang memilih jurusan Hukum biasanya memiliki ketertarikan terhadap sistem hukum, proses penegakan hukum, dan peraturan yang berlaku. Mereka juga harus memiliki kemampuan analisis yang baik, kepekaan terhadap keadilan, serta integritas yang tinggi. Selain itu, mereka juga harus siap untuk terus belajar dan mengembangkan kemampuan berpikir kritis serta keterampilan komunikasi yang baik. Dengan latar belakang pendidikan di jurusan ini, lulusan diharapkan dapat memberikan kontribusi positif dalam menjaga kedamaian dan keadilan dalam masyarakat.","1. Hukum Pidana
2. Hukum Perdata
3. Hukum Administrasi Negara
4. Hukum Tata Negara
5. Hukum Agraria
6. Hukum Internasional
7. Hukum Lingkungan
8. Hukum Bisnis
9. Hukum Keluarga
10. Hukum Kepailitan",0.10,0.10,0.10,0.40,0.00,0.00,0.10,0.60,0.10,0.10,0.10,0.20,0.10,0.20,0.20,0.20,0.90
TEKNIK MESIN,20157,"TEKNIK MESIN adalah sebuah jurusan kuliah yang mempelajari tentang berbagai teknologi dan teknik yang digunakan dalam proses perancangan, produksi, dan pemeliharaan mesin dan sistem mekanik. Mahasiswa jurusan ini akan belajar tentang prinsip-prinsip dasar mekanika, termodinamika, desain mesin, kontrol dan otomasi, material teknik, dan teknik manufaktur. Mereka juga akan mendapatkan pengetahuan dan keterampilan dalam mengoperasikan peralatan teknik, serta pemecahan masalah dalam bidang teknik mesin. Dengan demikian, lulusan jurusan TEKNIK MESIN akan memiliki kompetensi untuk bekerja di berbagai industri manufaktur, otomotif, perminyakan, dan lain sebagainya.","Jurusan Teknik Mesin adalah jurusan yang cocok untuk orang yang menyukai teknologi, perancangan, dan pemeliharaan mesin. Mereka yang memilih jurusan ini biasanya memiliki ketertarikan dalam memahami bagaimana sebuah mesin bekerja, bagaimana cara merancang mesin yang efisien dan handal, serta bagaimana cara melakukan perawatan dan pemeliharaan agar mesin tetap beroperasi dengan baik. Selain itu, orang yang menyukai jurusan ini juga biasanya memiliki minat dalam mengatasi tantangan teknis dan mengembangkan solusi inovatif dalam bidang teknik mesin. Kesimpulannya, jurusan ini cocok untuk orang yang menyukai teknologi, kreativitas, dan tantangan dalam bidang mesin.","1. Teknik Fluida
2. Material Teknik
3. Pembentukan Logam
4. Teknik Pemeliharaan
5. Teknik Las
6. Metode Penelitian Teknik
7. Teknik Kontrol
8. Ergonomi Teknik
9. Dinamika Teknik
10. Manajemen Proyek Teknik",0.50,0.40,0.90,0.10,0.10,0.10,0.10,0.30,0.30,0.00,0.10,0.10,0.20,0.20,0.10,0.10,0.20
INFORMATIKA,18918,"Jurusan Teknik Informatika adalah salah satu jurusan di perguruan tinggi yang mempelajari tentang pengembangan dan penerapan teknologi informasi dan komunikasi dalam berbagai bidang. Jurusan ini memberikan pembelajaran mengenai pemrograman, jaringan komputer, basis data, keamanan informasi, serta sistem informasi. Para mahasiswa jurusan Teknik Informatika akan dilatih untuk mengembangkan solusi teknologi informasi yang inovatif dan efisien, serta mampu mengelola sistem informasi dengan baik. Selain itu, mereka juga akan diajarkan untuk menguasai berbagai metode dan teknologi terkini dalam industri teknologi informasi. Dengan demikian, lulusan jurusan Teknik Informatika diharapkan mampu menjadi tenaga ahli yang handal dalam menghadapi tantangan di era digital ini.","Jurusan Informatika adalah jurusan yang cocok untuk orang yang memiliki minat dan passion dalam bidang teknologi informasi dan komputer. Orang-orang yang memilih jurusan ini biasanya memiliki ketertarikan terhadap pemrograman, pengembangan perangkat lunak, analisis data, keamanan sistem informasi, dan teknologi jaringan. Mereka gemar menggali pengetahuan baru mengenai perkembangan teknologi terkini dan senang mencoba hal-hal baru dalam dunia digital. Jurusan Informatika juga menawarkan peluang karir yang luas di berbagai industri, baik sebagai programmer, analis sistem, data scientist, hingga pengembang aplikasi mobile. Bagi mereka yang memiliki minat ini, Jurusan Informatika adalah pilihan yang tepat untuk mengejar karir di dunia teknologi.","1. Pemrograman Dasar
2. Struktur Data
3. Algoritma dan Pemrograman
4. Sistem Operasi
5. Jaringan Komputer
6. Basis Data
7. Pemrograman Web
8. Perancangan Sistem Informasi
9. Kecerdasan Buatan
10. Keamanan Informasi",0.80,0.30,0.20,0.10,0.10,0.10,0.90,0.30,0.10,0.10,0.20,0.10,0.10,0.10,0.10,0.10,0.10
GIZI,18803,"Ilmu Gizi adalah salah satu jurusan kuliah yang mempelajari tentang ilmu nutrisi dan kesehatan makanan. Mahasiswa yang mengambil jurusan ini akan mempelajari tentang kandungan nutrisi dalam makanan, metabolisme tubuh manusia, serta faktor-faktor yang mempengaruhi pola makan dan kesehatan. Mereka juga akan mempelajari tentang cara mengatur diet dan nutrisi yang tepat untuk memenuhi kebutuhan tubuh manusia agar tetap sehat dan berenergi. Selain itu, mahasiswa Ilmu Gizi juga akan belajar mengenai penelitian gizi dan aplikasinya dalam bidang kesehatan masyarakat. Dengan demikian, mahasiswa Ilmu Gizi diharapkan dapat menjadi ahli gizi yang mampu memberikan edukasi dan konsultasi nutrisi yang tepat bagi masyarakat dalam upaya meningkatkan kesehatan dan kualitas hidup.","Jurusan ini adalah jurusan untuk orang yang menyukai ilmu pengetahuan dan teknologi. Mereka yang tertarik dengan riset dan inovasi, serta memiliki keinginan untuk menciptakan solusi untuk permasalahan yang kompleks yang ada di dunia ini. Mereka yang memilih jurusan ini harus memiliki kemampuan analitis yang baik, kreativitas tinggi, dan kesabaran dalam menghadapi tantangan yang ada. Mereka juga harus siap untuk terus belajar dan mengembangkan diri, karena bidang ini selalu berkembang pesat. Jurusan ini adalah tempat bagi mereka yang ingin terlibat dalam mengubah dunia menjadi tempat yang lebih baik melalui pengetahuan dan teknologi.","1. Gizi dan Kesehatan
2. Mikrobiologi Pangan
3. Metabolisme
4. Kimia Makanan
5. Ilmu Nutrisi
6. Biokimia
7. Statistik Gizi
8. Dietetika
9. Kesehatan Masyarakat
10. Pangan Fungsional",0.30,0.30,0.10,0.10,0.70,0.30,0.10,0.20,0.10,0.10,0.10,0.20,0.80,0.10,0.20,0.10,0.10
KEPERAWATAN,16727,"Jurusan keperawatan adalah salah satu program studi yang mempelajari tentang pengelolaan dan pelayanan kesehatan kepada pasien yang membutuhkan perawatan medis. Mahasiswa jurusan keperawatan akan mempelajari tentang anatomi dan fisiologi tubuh manusia, diagnosis penyakit, prosedur medis, manajemen pasien, serta etika dan hukum dalam praktek keperawatan. Mereka juga akan dilatih untuk memberikan perawatan yang komprehensif dan bertanggung jawab kepada pasien, baik di rumah sakit, puskesmas, maupun dalam masyarakat. Jurusan keperawatan merupakan salah satu pilihan yang cocok bagi mereka yang memiliki kepedulian terhadap kesehatan masyarakat dan memiliki kemampuan untuk bekerja secara tim dalam lingkungan yang dinamis.","Jurusan keperawatan adalah pilihan yang tepat bagi individu yang menyukai membantu orang lain dan peduli terhadap kesehatan. Mereka akan belajar tentang pelayanan kesehatan, perawatan pasien, penanganan kritis, dan keterampilan medis yang diperlukan untuk merawat mereka. Selain itu, jurusan ini juga mempersiapkan mahasiswa untuk bekerja di berbagai lingkungan seperti rumah sakit, klinik, pusat kesehatan, dan institusi perawatan jangka panjang. Selain itu, mereka juga akan belajar tentang etika profesi dan aspek sosial dalam dunia kesehatan. Jurusan ini sangat cocok bagi individu yang peduli terhadap kesejahteraan orang lain dan ingin memberikan kontribusi positif dalam bidang kesehatan.","1. Anatomi dan Fisiologi
2. Keperawatan Medikal Bedah
3. Keperawatan Anak
4. Keperawatan Jiwa
5. Keperawatan Maternitas
6. Keperawatan Gerontik
7. Keperawatan Komunitas
8. Etika Keperawatan
9. Kasus Kesehatan Reproduksi
10. Keperawatan Gawat Darurat",0.20,0.30,0.20,0.30,0.40,0.10,0.10,0.10,0.20,0.00,0.30,0.20,0.80,0.10,0.10,0.10,0.10
AGRIBISNIS,16590,"Jurusan Agribisnis adalah salah satu jurusan yang membahas tentang manajemen bisnis di bidang pertanian, peternakan, dan perkebunan. Mahasiswa jurusan ini akan mempelajari teknik-teknik manajemen yang dapat diterapkan dalam industri agribisnis serta memahami seluk beluk pasar pertanian dan perkebunan. Mereka juga akan mempelajari tentang inovasi teknologi pertanian, pengembangan produk pertanian, dan strategi pemasaran yang dapat meningkatkan produktivitas dan profitabilitas dalam sektor agribisnis. Jurusan Agribisnis memberikan pemahaman yang mendalam tentang hubungan antara manusia, lingkungan, dan sumber daya alam dalam konteks pertanian modern. Dengan demikian, lulusan jurusan Agribisnis dapat menjadi pengusaha sukses di sektor pertanian serta berperan dalam mengembangkan potensi agraris di Indonesia.","Jurusan Agribisnis adalah pilihan yang tepat bagi orang yang menyukai dunia pertanian, bisnis, dan manajemen. Para mahasiswa yang memilih jurusan ini akan belajar tentang berbagai aspek dalam mengelola usaha pertanian, mulai dari pengembangan lahan, pemilihan bibit, hingga pemasaran hasil panen. Mereka juga akan belajar tentang teknik manajemen bisnis dan keuangan yang dapat diterapkan dalam industri pertanian. Selain itu, jurusan Agribisnis juga menawarkan peluang untuk memahami secara lebih dalam tentang keberlanjutan lingkungan dan pentingnya menjaga ekosistem pertanian. Keseluruhan, jurusan ini cocok untuk orang yang memiliki minat pada pertanian dan ingin mengembangkan bisnis di bidang ini.","1. Agribisnis Perdesaan
2. Pemasaran Agribisnis
3. Manajemen Agribisnis
4. Keuangan Agribisnis
5. Kewirausahaan Agribisnis
6. Sistem Informasi Agribisnis
7. Kesehatan Hewan
8. Nutrisi Ternak
9. Politik Pertanian
10. Agroekoteknologi",0.30,0.50,0.20,0.20,0.30,0.00,0.30,0.80,0.10,0.00,0.20,0.40,0.10,0.20,0.20,0.10,0.10
TEKNIK ELEKTRO,16520," jurusan Teknik Elektro adalah salah satu jurusan yang memberikan pemahaman mendalam tentang bidang rekayasa elektronik, listrik, dan komputer. Mahasiswa akan belajar tentang prinsip dasar elektronika, sistem kontrol, komunikasi data, dan masih banyak lagi. Mereka juga akan mempelajari cara mendesain dan mengembangkan sistem elektronik, mulai dari perangkat keras hingga perangkat lunak. Jurusan ini juga memberikan pemahaman tentang penggunaan teknologi terbaru dalam bidang elektronik dan komputasi. Selain itu, mahasiswa Teknik Elektro akan dilatih untuk memiliki keterampilan analisis yang tajam, pemecahan masalah, dan kreativitas dalam menemukan solusi dalam bidang teknologi elektronik. Dengan demikian, lulusan jurusan ini memiliki peluang karir yang luas di bidang industri, telekomunikasi, otomotif, listrik, dan banyak bidang lainnya yang membutuhkan keahlian dalam teknologi elektronik.","Jurusan Teknik Elektro adalah jurusan yang cocok untuk orang yang menyukai bidang teknologi, listrik, elektronika, dan komunikasi. Mereka yang memilih jurusan ini biasanya memiliki minat yang besar terhadap dunia teknologi dan ingin belajar cara kerja sistem listrik, elektronika, kontrol, dan komunikasi. Mereka juga gemar menguji keahlian mereka dalam merancang, mengembangkan, dan memelihara sistem teknologi yang kompleks. Jurusan ini menawarkan kesempatan untuk menggali pengetahuan dan keterampilan dalam bidang teknik elektro, serta berkontribusi pada inovasi teknologi yang akan memajukan dunia modern.","1. Elektronika Dasar
2. Sistem Kendali
3. Instrumentasi
4. Komunikasi Data dan Jaringan Komputer
5. Robotika
6. Elektronika Daya
7. Sistem Tenaga Listrik
8. Teknik Kontrol
9. Komputer Mikro
10. Pemodelan Sistem Elektromekanik",0.70,0.30,0.70,0.10,0.10,0.10,0.50,0.20,0.20,0.10,0.10,0.20,0.10,0.10,0.30,0.10,0.20
PENDIDIKAN GURU SEKOLAH DASAR,16193," Pendidikan Guru Sekolah Dasar adalah jurusan kuliah yang mempersiapkan mahasiswa untuk menjadi seorang guru di tingkat sekolah dasar. Selama kuliah, mahasiswa akan mempelajari berbagai mata pelajaran yang berkaitan dengan pendidikan, psikologi perkembangan anak, metode pengajaran, evaluasi pembelajaran, serta etika profesionalisme dalam mengajar.

Mahasiswa juga akan diajarkan bagaimana mengelola kelas, berkomunikasi dengan siswa, orangtua, dan kolega guru, serta bagaimana mengembangkan kurikulum yang sesuai dengan kebutuhan serta perkembangan anak usia sekolah dasar. Selain itu, mahasiswa juga akan dilatih untuk meningkatkan kemampuan kreativitas, kemampuan berpikir kritis, dan kemampuan interpersonal dalam proses pembelajaran.

Setelah lulus dari jurusan ini, lulusan akan siap untuk menjadi seorang guru profesional yang mampu memberikan pendidikan yang berkualitas bagi anak-anak di tingkat sekolah dasar. Mereka akan memiliki pengetahuan dan keterampilan yang dibutuhkan untuk menciptakan lingkungan belajar yang kondusif, memotivasi siswa untuk belajar, serta membantu mereka mencapai potensi terbaik mereka dalam proses pendidikan.","Jurusan Pendidikan Guru Sekolah Dasar adalah jurusan yang cocok untuk orang yang memiliki minat dan bakat dalam mengajar dan mendidik anak-anak usia dini. Orang yang memilih jurusan ini harus memiliki kemampuan komunikasi yang baik, penuh kesabaran, kreatif, serta penuh dedikasi dalam membantu perkembangan anak-anak. Mereka juga harus memiliki minat dalam pengembangan kurikulum pendidikan anak usia dini, psikologi perkembangan anak, serta metode pengajaran yang tepat sesuai dengan tingkat perkembangan anak-anak sekolah dasar. Memilih jurusan ini berarti memilih untuk menjadi garda terdepan dalam mencerdaskan bangsa melalui dunia pendidikan.","1. Pendidikan Bahasa Indonesia
2. Pendidikan Matematika
3. Pendidikan IPA
4. Pendidikan Agama
5. Pendidikan Kewarganegaraan
6. Pendidikan Seni
7. Pendidikan Jasmani
8. Psikologi Pendidikan
9. Kependidikan Guru
10. Metode Pembelajaran",0.20,0.20,0.10,0.40,0.10,0.10,0.20,0.10,0.40,0.30,0.90,0.20,0.10,0.20,0.40,0.40,0.10
KESEHATAN MASYARAKAT,16184,"Kesehatan Masyarakat adalah salah satu jurusan kuliah yang mempelajari tentang upaya untuk meningkatkan kesehatan dan kesejahteraan masyarakat secara keseluruhan. Jurusan ini menggabungkan ilmu kesehatan, ilmu sosial, dan ilmu analisis kebijakan untuk memahami faktor-faktor yang memengaruhi kesehatan masyarakat serta merancang dan melaksanakan intervensi yang efektif untuk meningkatkan kondisi kesehatan masyarakat.

Para mahasiswa jurusan Kesehatan Masyarakat akan belajar tentang epidemiologi, bio-statistik, kesehatan lingkungan, promosi kesehatan, manajemen kesehatan publik, dan kebijakan kesehatan. Mereka juga akan belajar cara melakukan penelitian, mengumpulkan dan menganalisis data, serta merancang program-program kesehatan yang berkelanjutan dan berdampak positif bagi masyarakat.

Setelah lulus, lulusan jurusan Kesehatan Masyarakat memiliki berbagai peluang karir di bidang kesehatan publik, non-profit, pemerintahan, rumah sakit, organisasi internasional, dan sektor swasta. Mereka dapat bekerja sebagai epidemiolog, manajer program kesehatan, analis kebijakan kesehatan, peneliti kesehatan masyarakat, dll. Jurusan ini memberikan landasan yang kuat untuk berkontribusi dalam meningkatkan kesehatan dan kesejahteraan masyarakat secara luas.","Error, try to refresh the page and re-open the addon. If the problem persists, please contact us.","1. Kesehatan Masyarakat
2. Epidemiologi
3. Statistik Kesehatan
4. Kesehatan Lingkungan
5. Kesehatan Reproduksi
6. Promosi Kesehatan
7. Sosiologi Kesehatan
8. Kebijakan Kesehatan
9. Penyuluhan Kesehatan
10. Gizi Masyarakat",0.30,0.30,0.10,0.60,0.50,0.10,0.10,0.20,0.10,0.10,0.10,0.40,0.80,0.10,0.30,0.10,0.10
EKONOMI PEMBANGUNAN,14902,"Ekonomi Pembangunan adalah jurusan kuliah yang mempelajari tentang bagaimana perekonomian suatu negara dapat berkembang dan meningkatkan kesejahteraan masyarakat melalui kebijakan-kebijakan ekonomi yang tepat. Jurusan ini mencakup berbagai topik seperti pembangunan ekonomi, keuangan publik, investasi, perdagangan internasional, serta ekonomi sumber daya alam. Para mahasiswa jurusan ini akan belajar tentang teori ekonomi, analisis data, serta kebijakan-kebijakan yang dapat mempengaruhi pertumbuhan ekonomi suatu negara. Dengan memahami prinsip-prinsip ekonomi pembangunan, lulusan jurusan ini diharapkan dapat menjadi ahli yang mampu mengatasi tantangan pembangunan ekonomi dan memberikan kontribusi positif bagi kemajuan negara.","Jurusan Ekonomi Pembangunan adalah jurusan yang cocok untuk orang yang memiliki minat dalam bidang ekonomi dan pembangunan. Mereka yang menyukai analisis kebijakan ekonomi, perencanaan pembangunan, serta strategi pengentasan kemiskinan akan menikmati belajar di jurusan ini. Selain itu, orang yang memiliki ketertarikan pada hubungan antara ekonomi dan pembangunan sosial, lingkungan, dan teknologi juga akan merasa puas memilih jurusan ini. Dengan mempelajari berbagai teori dan praktik dalam ekonomi pembangunan, mahasiswa dapat memiliki pemahaman yang mendalam tentang bagaimana menciptakan pertumbuhan ekonomi yang berkelanjutan dan inklusif bagi masyarakat.","1. Teori Ekonomi Pembangunan
2. Kebijakan Pembangunan Ekonomi
3. Statistik Ekonomi Pembangunan
4. Kajian Pembangunan Daerah
5. Koperasi dan Pembangunan
6. Teori Pertumbuhan Ekonomi
7. Ekonomi Sumber Daya Alam
8. Ekonomi Internasional
9. Ekonomi Regional
10. Analisis Kebijakan Pembangunan",0.30,0.20,0.10,0.40,0.10,0.00,0.30,0.80,0.10,0.10,0.20,0.30,0.10,0.20,0.20,0.10,0.20
ILMU KOMPUTER,14134,"Ilmu Komputer adalah jurusan kuliah yang mempelajari tentang ilmu dan teknologi dalam bidang pengolahan data, informasi, dan komputasi. Jurusan ini mencakup pembelajaran mengenai pengembangan perangkat lunak, sistem informasi, kecerdasan buatan, grafika komputer, jaringan komputer, keamanan informasi, dan lain sebagainya. Mahasiswa Ilmu Komputer akan belajar tentang pemrograman, analisis data, desain sistem, manajemen basis data, dan teknologi terbaru dalam bidang komputasi. Selain itu, jurusan ini juga memberikan pemahaman mendalam tentang bagaimana komputer bekerja dan solusi teknologi informasi untuk memecahkan masalah di berbagai bidang industri. Ilmu Komputer merupakan salah satu jurusan kuliah yang penting dan memiliki peluang kerja yang luas di masa depan.","Jurusan Ilmu Komputer adalah jurusan untuk orang yang menyukai teknologi informasi, pemrograman komputer, analisis data, dan sistem komputer. Mereka tertarik untuk memahami bagaimana komputer bekerja, merancang dan mengembangkan software, dan memecahkan masalah melalui pemrograman. Orang yang memilih jurusan ini harus memiliki ketertarikan dalam matematika, logika, dan pemecahan masalah. Mereka juga harus siap untuk terus belajar dan mengikuti perkembangan teknologi yang cepat. Kesempatan karir bagi lulusan Ilmu Komputer sangat luas, mulai dari menjadi programmer, analis data, hingga pengembang aplikasi. Sehingga bagi orang yang menyukai bidang teknologi dan ingin menciptakan solusi inovatif, jurusan Ilmu Komputer adalah pilihan yang tepat.","1. Algoritma dan Pemrograman
2. Pemrograman Web
3. Basis Data
4. Jaringan Komputer
5. Sistem Operasi
6. Kecerdasan Buatan
7. Rekayasa Perangkat Lunak
8. Kriptografi
9. Grafika Komputer
10. Analisis Big Data",0.80,0.40,0.10,0.10,0.10,0.10,0.90,0.20,0.20,0.10,0.20,0.10,0.10,0.10,0.20,0.10,0.10
ILMU KEPERAWATAN,13307,"Jurusan keperawatan adalah salah satu program studi yang mempelajari tentang pengelolaan dan pelayanan kesehatan kepada pasien yang membutuhkan perawatan medis. Mahasiswa jurusan keperawatan akan mempelajari tentang anatomi dan fisiologi tubuh manusia, diagnosis penyakit, prosedur medis, manajemen pasien, serta etika dan hukum dalam praktek keperawatan. Mereka juga akan dilatih untuk memberikan perawatan yang komprehensif dan bertanggung jawab kepada pasien, baik di rumah sakit, puskesmas, maupun dalam masyarakat. Jurusan keperawatan merupakan salah satu pilihan yang cocok bagi mereka yang memiliki kepedulian terhadap kesehatan masyarakat dan memiliki kemampuan untuk bekerja secara tim dalam lingkungan yang dinamis.","Jurusan Ilmu Keperawatan adalah jurusan untuk orang yang menyukai pelayanan kesehatan dan merawat orang lain. Orang-orang yang memilih jurusan ini biasanya memiliki rasa empati yang tinggi dan keinginan untuk membantu orang lain dalam proses penyembuhan dan perawatan. Mereka juga harus memiliki kemampuan komunikasi yang baik, kepemimpinan, dan keterampilan dalam mengelola situasi darurat. Selain itu, mereka juga harus memiliki pengetahuan yang luas dalam ilmu medis dan kesehatan, serta kemauan untuk terus belajar dan mengembangkan diri. Jurusan ini menawarkan karir yang bermanfaat dan memuaskan bagi mereka yang peduli dengan kesejahteraan orang lain.","1. Anatomi dan Fisiologi
2. Keperawatan Medikal Bedah
3. Keperawatan Anak
4. Keperawatan Jiwa
5. Keperawatan Maternitas
6. Keperawatan Gerontik
7. Keperawatan Komunitas
8. Etika Keperawatan
9. Kasus Kesehatan Reproduksi
10. Keperawatan Gawat Darurat",0.20,0.30,0.20,0.30,0.40,0.10,0.10,0.10,0.20,0.00,0.30,0.20,0.80,0.10,0.10,0.10,0.10
